[27-Mar-2025 15:34:33 UTC] PHP Warning:  Undefined array key "username" in /home/rory/Desktop/CSRF-PHP/index.php on line 8
[27-Mar-2025 15:34:43 UTC] PHP Warning:  Undefined array key "username" in /home/rory/Desktop/CSRF-PHP/index.php on line 8
[27-Mar-2025 15:36:52 UTC] PHP Warning:  Undefined array key "username" in /home/rory/Desktop/CSRF-PHP/index.php on line 8
[27-Mar-2025 15:36:58 UTC] PHP Warning:  Undefined array key "username" in /home/rory/Desktop/CSRF-PHP/index.php on line 8
[27-Mar-2025 15:39:07 UTC] PHP Warning:  session_start(): Session cannot be started after headers have already been sent in /home/rory/Desktop/CSRF-PHP/login.php on line 4
[27-Mar-2025 15:39:32 UTC] PHP Warning:  session_start(): Session cannot be started after headers have already been sent in /home/rory/Desktop/CSRF-PHP/login.php on line 3
[27-Mar-2025 15:39:34 UTC] PHP Warning:  session_start(): Session cannot be started after headers have already been sent in /home/rory/Desktop/CSRF-PHP/login.php on line 3
[27-Mar-2025 15:39:45 UTC] PHP Warning:  session_start(): Session cannot be started after headers have already been sent in /home/rory/Desktop/CSRF-PHP/login.php on line 3
[27-Mar-2025 15:40:06 UTC] PHP Warning:  session_start(): Session cannot be started after headers have already been sent in /home/rory/Desktop/CSRF-PHP/login.php on line 3
[27-Mar-2025 15:40:42 UTC] PHP Warning:  session_start(): Session cannot be started after headers have already been sent in /home/rory/Desktop/CSRF-PHP/login.php on line 3
[27-Mar-2025 15:40:43 UTC] PHP Warning:  session_start(): Session cannot be started after headers have already been sent in /home/rory/Desktop/CSRF-PHP/login.php on line 3
[27-Mar-2025 15:41:53 UTC] PHP Warning:  session_start(): Session cannot be started after headers have already been sent in /home/rory/Desktop/CSRF-PHP/login.php on line 3
[27-Mar-2025 15:50:18 UTC] PHP Warning:  Undefined array key "color" in /home/rory/Desktop/CSRF-PHP/poll.php on line 4
[27-Mar-2025 15:50:18 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/rory/Desktop/CSRF-PHP/poll.php:4) in /home/rory/Desktop/CSRF-PHP/poll.php on line 8
[27-Mar-2025 15:50:47 UTC] PHP Warning:  Undefined array key "color" in /home/rory/Desktop/CSRF-PHP/poll.php on line 4
[27-Mar-2025 15:50:47 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/rory/Desktop/CSRF-PHP/poll.php:4) in /home/rory/Desktop/CSRF-PHP/poll.php on line 8
[27-Mar-2025 15:57:35 UTC] PHP Warning:  readfile(votes.txt): Failed to open stream: No such file or directory in /home/rory/Desktop/CSRF-PHP/results.php on line 2
[27-Mar-2025 16:01:02 UTC] PHP Warning:  Undefined variable $votes in /home/rory/Desktop/CSRF-PHP/poll.php on line 4
[27-Mar-2025 16:01:02 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /home/rory/Desktop/CSRF-PHP/poll.php on line 4
[27-Mar-2025 16:15:23 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/rory/Desktop/CSRF-PHP/poll.php:6) in /home/rory/Desktop/CSRF-PHP/poll.php on line 8
[27-Mar-2025 16:28:55 UTC] PHP Warning:  Undefined array key "username" in /home/rory/Desktop/CSRF-PHP/poll.php on line 5
[27-Mar-2025 16:28:55 UTC] PHP Warning:  Undefined array key "username" in /home/rory/Desktop/CSRF-PHP/poll.php on line 5
[27-Mar-2025 16:28:55 UTC] PHP Warning:  Undefined array key "username" in /home/rory/Desktop/CSRF-PHP/poll.php on line 20
[27-Mar-2025 16:29:48 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/rory/Desktop/CSRF-PHP/poll.php:6) in /home/rory/Desktop/CSRF-PHP/poll.php on line 8
[27-Mar-2025 16:30:25 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/rory/Desktop/CSRF-PHP/poll.php:6) in /home/rory/Desktop/CSRF-PHP/poll.php on line 8
[27-Mar-2025 16:33:12 UTC] PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/rory/Desktop/CSRF-PHP/poll.php:6) in /home/rory/Desktop/CSRF-PHP/poll.php on line 8
